ID,Title,image,Content,Short Description,Sku,Price,Regular Price,Sale Price,Total Sales,Eligibility,Next Highe Aassembly,OEM,OEM Part Number,TBQ,Categories
2324,P00003,ACS00003,"Seat, Ball","Seat, Ball",384364ef2a40,204.92,204.92,,25,"A300 MODEL B2-1A, A300 MODEL B2-1C, A300 MODEL B4-2C, A300 MODEL B2K-3C, A300 MODEL B4-103, A300 MODEL B2-203, A300 MODEL B4-203, A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310","978690 : HP BLEED CONTROL VALVE, 978892 : HP BLEED CONTROL VALVE, 979146 : HP BLEED CONTROL VALVE",Honeywell,311903-30,no,"978690 : HP BLEED CONTROL VALVE, 978892 : HP BLEED CONTROL VALVE, 979146 : HP BLEED CONTROL VALVE"
2325,P00004,ACS00004,Seat,Seat,f5f035039f63,198.43,198.43,,9,"A300 MODEL B2-1A, A300 MODEL B2-1C, A300 MODEL B4-2C, A300 MODEL B2K-3C, A300 MODEL B4-103, A300 MODEL B2-203, A300 MODEL B4-203, A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310","978690 : HP BLEED CONTROL VALVE, 978892 : HP BLEED CONTROL VALVE, 979146 : HP BLEED CONTROL VALVE",Honeywell,3172745-1,no,"978690 : HP BLEED CONTROL VALVE, 978892 : HP BLEED CONTROL VALVE, 979146 : HP BLEED CONTROL VALVE"
2326,P00009,ACS00009,"Rod, Secondary","Rod, Secondary",1edfe3c5c3f0,90.58,90.58,,13,"A300 MODEL B2-1A, A300 MODEL B2-1C, A300 MODEL B4-2C, A300 MODEL B2K-3C, A300 MODEL B4-103, A300 MODEL B2-203, A300 MODEL B4-203, A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310","978690 : HP BLEED CONTROL VALVE, 978892 : HP BLEED CONTROL VALVE, 979146 : HP BLEED CONTROL VALVE",Honeywell,3161921-1,no,"978690 : HP BLEED CONTROL VALVE, 978892 : HP BLEED CONTROL VALVE, 979146 : HP BLEED CONTROL VALVE"
2327,P00010,ACS00010,"Switch, Pressure","Switch, Pressure",2a11d32965ea,10000,10000,,11,"A300 MODEL B2-1A, A300 MODEL B2-1C, A300 MODEL B4-2C, A300 MODEL B2K-3C, A300 MODEL B4-103, A300 MODEL B2-203, A300 MODEL B4-203, A310 MODEL 204, A310 MODEL 222, A310 MODEL 203, A310 MODEL 322, A310","978690 : HP BLEED CONTROL VALVE, 978892 : HP BLEED CONTROL VALVE, 979146 : HP BLEED CONTROL VALVE",Honeywell,3172743-4,yes,"978690 : HP BLEED CONTROL VALVE, 978892 : HP BLEED CONTROL VALVE, 979146 : HP BLEED CONTROL VALVE"
2328,P00012,ACS00012,Bearing Carrier,Bearing Carrier,b5fbee53956d,837.35,837.35,,6,"DC-9-81 (MD-81), DC-9-82 (MD-82), DC-9-83 (MD-83), MD-88, 727-100 SERIES, 737-200, 737-300, 737-400, 737-500","204050-10 : AIR CYCLE MACHINE, 204050-11 : AIR CYCLE MACHINE, 204950Series : COOLING TURBINE",Honeywell,203477-1,no,"204050-10 : AIR CYCLE MACHINE, 204050-11 : AIR CYCLE MACHINE, 204950Series : COOLING TURBINE"
2329,P00015,ACS00015,"Bushing, Carbon","Bushing, Carbon",49b8e7f7ba7b,188.1,188.1,,2,"747-400, 767-200, 767-300, 767-300F, 767-400ER","790270-5 : HPSOV, 790270-6 : HPSOV, 802170 : HPSOV",Hamilton Sundstrand,746474-5,no,"790270-5 : HPSOV, 790270-6 : HPSOV, 802170 : HPSOV"
2330,P00017,ACS00017,Impeller,Impeller,4264b343e935,657.23,657.23,,3,"DC-9-81 (MD-81), DC-9-82 (MD-82), DC-9-83 (MD-83), MD-88, 727 SERIES, 737-300, 737-400, 737-500","204050-10 : AIR CYCLE MACHINE, 204050-11 : AIR CYCLE MACHINE, 204950Series : COOLING TURBINE",Honeywell,203697-1,no,"204050-10 : AIR CYCLE MACHINE, 204050-11 : AIR CYCLE MACHINE, 204950Series : COOLING TURBINE"
2331,P00018,ACS00018,Seal Element,Seal Element,f035d2f7b5d3,234.89,234.89,,8,"A300 MODEL B2-1A, A300 MODEL B2-1C, A300 MODEL B4-2C, A300 MODEL B2K-3C, A310 MODEL 204, A310 MODEL 222, A310 MODEL 203, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325, A300 MODEL B4-","350880 : VARIABLE DISPLACEMENT HYDRAULIC PUMP, 350880-1 : VARIABLE DISPLACEMENT HYDRAULIC PUMP, 350880-2 : VARIABLE DISPLACEMENT HYDRAULIC PUMP, 350880-3 : VARIABLE DISPLACEMENT HYDRAULIC PUM",Eaton Vickers,569246,no,Uncategorized
2332,P00019,ACS00019,Mating Ring,Mating Ring,8513f3371488,224,224,,2,"A310 MODEL 204, A310 MODEL 221, A310 MODEL 222, A310 MODEL 203, A310 MODEL 322, A310 MODEL 324, A310 MODEL 304, A310 MODEL 325, A300 MODEL B4-601, A300 MODEL B4-603, A300 MODEL B4-620, A300 MODEL B4-","405893 : HYDRAULIC MOTOR-PUMP ASSEMBLY, 414470 : HYDRAULIC MOTOR-PUMP ASSEMBLY, 520831 : AC DRIVEN MOTORPUMP ASSY, 624372 : HYDRAULIC MOTORPUMP ASSY, 693335 : HYDRAULIC MOTORPUMP ASSY, 8615",Eaton Vickers,420494,no,Uncategorized
2333,P00020,ACS00020,"Valve, Assy, Servo Pilot","Valve, Assy, Servo Pilot",72d3c9a77964,10000,10000,,4,"737-300, 737-400, 737-500",172625-7 : NOSE COWL TAI VALVE,Whittaker Controls,321240,yes,172625-7 : NOSE COWL TAI VALVE
